School,Team,Block,Zoom_Video_Position,ACTUAL_ID_at_Top_or_Left,ACTUAL_ID_at_Middle,ACTUAL_ID_at_Bottom_or_Right,VIDEO_ID_at_Top_or_Left,VIDEO_ID_at_Middle,VIDEO_ID_at_Bottom_or_Right,TEXT_ID_at_Top_or_Left,TEXT_ID_at_Middle,TEXT_ID_at_Bottom_or_Right
ASU,T71,ExpBlock1,vertical,PB,PD,PC,PB,PD,PC,PB,PD,PC
ASU,T71,ExpBlock2,vertical,PC,PD,PB,PC,PD,PB,PC,PD,PB
ASU,T71,WU,vertical,PD,PB,PC,PA,PB,PC,PA,PB,PC
ASU,T72,ExpBlock1,vertical,PB,PA,PC,PB,PD,PC,PB,PD,PC
ASU,T72,ExpBlock2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASU,T72,WU,vertical,PA,PB,PC,PA,PB,PC,PA,PB,PC
ASU,T73,ExpBlock1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASU,T73,ExpBlock2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASU,T73,WU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASU,T74,ExpBlock1,vertical,PB,PD,PC,PB,PD,PC,PB,PD,PC
ASU,T74,ExpBlock2,vertical,PC,PD,PB,PC,PD,PB,PC,PD,PB
ASU,T74,WU,vertical,PC,PD,PB,PC,PA,PD,PC,PA,PD
ASU,T75,ExpBlock1,vertical,PB,PA,PC,PB,PA,PC,PB,PA,PC
ASU,T75,ExpBlock2,vertical,PC,PA,PB,PC,PA,PB,PC,PA,PB
ASU,T75,WU,vertical,PA,PB,PC,PA,PB,PC,PA,PB,PC
ASU,T76,ExpBlock1,vertical,PB,PA,PC,PB,PA,PC,PB,PA,PC
ASU,T76,ExpBlock2,vertical,PC,PA,PB,PC,PA,PB,PC,PA,PB
ASU,T76,WU,vertical,PA,PC,PB,PA,PC,PB,PA,PC,PB
ASU,T77,ExpBlock1,vertical,PB,PA,PC,PB,PA,PC,PB,PA,PC
ASU,T77,ExpBlock2,vertical,PC,PA,PB,PC,PA,PB,PC,PA,PB
ASU,T77,WU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASU,T78,ExpBlock1,vertical,PD,PA,PC,PD,PA,PC,PD,PA,PC
ASU,T78,ExpBlock2,vertical,PC,PD,PA,PC,PD,PA,PC,PD,PA
ASU,T78,WU,vertical,PA,PD,PC,PA,PD,PC,PA,PD,PC
ASU,T80,ExpBlock1,vertical,PD,PA,PC,PD,PA,PC,PD,PA,PC
ASU,T80,ExpBlock2,vertical,PC,PA,PD,PC,PA,PD,PC,PA,PD
ASU,T80,WU,vertical,PA,PD,PC,PA,PB,PC,PA,PB,PC
ASU,T83,ExpBlock1,vertical,PB,PA,PC,PB,PA,PC,PB,PA,PC
ASU,T83,ExpBlock2,vertical,PC,PA,PB,PC,PA,PB,PC,PA,PB
ASU,T83,WU,vertical,PA,PB,PC,PA,PB,PC,PA,PB,PC
ASU,T84,ExpBlock1,vertical,PB,PC,PA,PB,PC,PA,PB,PC,PA
ASU,T84,ExpBlock2,vertical,PC,PB,PA,PC,PB,PA,PC,PB,PA
ASU,T84,WU,vertical,PA,PB,PC,PA,PB,PC,PA,PB,PC
ASU,T86,ExpBlock1,vertical,PB,PD,PC,PB,PD,PC,PB,PD,PC
ASU,T86,ExpBlock2,vertical,PC,PD,PB,PC,PB,PD,PC,PB,PD
ASU,T86,WU,vertical,PD,PB,PC,PD,PB,PC,PD,PB,PC
ASU,T87,ExpBlock1,vertical,PD,PA,PC,PB,PD,PC,PB,PD,PC
ASU,T87,ExpBlock2,vertical,PC,PA,PD,PC,PA,PD,PC,PA,PD
ASU,T87,WU,vertical,PA,PD,PC,PA,PB,PC,PA,PB,PC
ASU,T89,ExpBlock1,vertical,PB,PA,PC,PB,PA,PC,PB,PA,PC
ASU,T89,ExpBlock2,vertical,PC,PA,PB,PC,PA,PB,PC,PA,PB
ASU,T89,WU,vertical,PA,PB,PC,PA,PB,PC,PA,PB,PC
ASU,T90,ExpBlock1,vertical,PB,PA,PC,PB,PA,PC,PB,PA,PC
ASU,T90,ExpBlock2,vertical,PC,PA,PB,PC,PA,PB,PC,PA,PB
ASU,T90,WU,vertical,PA,PB,PC,PA,PB,PC,,,
ASU,T91,ExpBlock1,vertical,PB,PA,PC,PB,PA,PC,PB,PA,PC
ASU,T91,ExpBlock2,vertical,PC,PA,PB,PC,PA,PB,PC,PA,PB
ASU,T91,WU,vertical,PA,PB,PC,PA,PB,PC,PA,PB,PC
ASU,T93,ExpBlock1,vertical,PB,PA,PC,PB,PA,PC,PB,PA,PC
ASU,T93,ExpBlock2,vertical,PC,PA,PB,PC,PA,PB,PC,PA,PB
ASU,T93,WU,vertical,PA,PC,PB,PA,PC,PB,PA,PC,PB
ASU,T94,ExpBlock1,vertical,PD,PA,PC,PD,PA,PC,PD,PA,PC
ASU,T94,ExpBlock2,vertical,PC,PA,PD,PC,PA,PD,PC,PA,PD
ASU,T94,WU,vertical,PA,PD,PC,PA,PD,PC,PA,PD,PC
ASU,T96,ExpBlock1,vertical,PD,PA,PC,PD,PA,PC,PD,PA,PC
ASU,T96,ExpBlock2,vertical,PC,PA,PD,PC,PA,PD,PC,PA,PD
ASU,T96,WU,vertical,PA,PD,PC,PA,PD,PC,PA,PD,PC
ASU,T97,ExpBlock1,vertical,PB,PA,PC,PB,PA,PC,PB,PA,PC
ASU,T97,ExpBlock2,vertical,PC,PA,PB,PC,PA,PB,PC,PA,PB
ASU,T97,WU,vertical,PA,PB,PC,PA,PB,PC,PA,PB,PC
ASU,T98,ExpBlock1,vertical,PB,PA,PC,PB,PA,PC,PB,PA,PC
ASU,T98,ExpBlock2,vertical,PC,PA,PB,PC,PA,PB,PC,PA,PB
ASU,T98,WU,vertical,PA,PC,PB,PA,PC,PB,PA,PC,PB
ASU,T99,ExpBlock1,vertical,PB,PA,PC,PB,PA,PC,PB,PA,PC
ASU,T99,ExpBlock2,vertical,PC,PA,PB,PC,PA,PB,PC,PA,PB
ASU,T99,WU,vertical,PA,PB,PC,PA,PB,PC,PA,PB,PC
CU,T10,ExpBlock1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CU,T10,ExpBlock2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
